#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p1mm_SINGLE_LAYER"
 2.583447327E-01 9.144000000E-01 2.875108989E-02
 2.500494896E-01 9.144000000E-01 2.923038141E-02
 2.500494684E-01 9.144000000E-01 2.923038263E-02
 2.417524976E-01 9.144000000E-01 2.967862709E-02
 2.417524765E-01 9.144000000E-01 2.967862823E-02
 2.334537921E-01 9.144000000E-01 3.009412934E-02
 2.334537709E-01 9.144000000E-01 3.009413040E-02
 2.251534350E-01 9.144000000E-01 3.047514667E-02
 2.251534138E-01 9.144000000E-01 3.047514764E-02
 2.168514890E-01 9.144000000E-01 3.081971358E-02
 2.168514678E-01 9.144000000E-01 3.081971446E-02
 2.085480365E-01 9.144000000E-01 3.112579873E-02
 2.085480153E-01 9.144000000E-01 3.112579951E-02
 2.002431835E-01 9.144000000E-01 3.139103071E-02
 2.002431623E-01 9.144000000E-01 3.139103139E-02
 1.919370499E-01 9.144000000E-01 3.161305406E-02
 1.919370287E-01 9.144000000E-01 3.161305462E-02
 1.836298340E-01 9.144000000E-01 3.178924801E-02
 1.836298128E-01 9.144000000E-01 3.178924846E-02
 1.755358115E-01 9.144000000E-01 3.191409820E-02
 1.755357908E-01 9.144000000E-01 3.191409851E-02
 1.678266692E-01 9.144000000E-01 3.198725674E-02
 1.678266495E-01 9.144000000E-01 3.198725693E-02
 1.604843325E-01 9.144000000E-01 3.201300341E-02
 1.604843138E-01 9.144000000E-01 3.201300347E-02
 1.534916185E-01 9.144000000E-01 3.199525462E-02
 1.534916006E-01 9.144000000E-01 3.199525457E-02
 1.468321130E-01 9.144000000E-01 3.193781999E-02
 1.468320961E-01 9.144000000E-01 3.193781984E-02
 1.404901764E-01 9.144000000E-01 3.184412076E-02
 1.404901603E-01 9.144000000E-01 3.184412052E-02
 1.344509089E-01 9.144000000E-01 3.171767472E-02
 1.344508935E-01 9.144000000E-01 3.171767440E-02
 1.287000762E-01 9.144000000E-01 3.156145431E-02
 1.287000615E-01 9.144000000E-01 3.156145391E-02
 1.232241362E-01 9.144000000E-01 3.137857558E-02
 1.232241222E-01 9.144000000E-01 3.137857511E-02
 1.180101473E-01 9.144000000E-01 3.117178953E-02
 1.180101340E-01 9.144000000E-01 3.117178900E-02
 1.130457791E-01 9.144000000E-01 3.094365090E-02
 1.130457665E-01 9.144000000E-01 3.094365032E-02
 1.083192578E-01 9.144000000E-01 3.069676829E-02
 1.083192458E-01 9.144000000E-01 3.069676766E-02
 1.038193907E-01 9.144000000E-01 3.043312621E-02
 1.038193793E-01 9.144000000E-01 3.043312554E-02
 9.953546817E-02 9.144000000E-01 3.015506784E-02
 9.953545725E-02 9.144000000E-01 3.015506713E-02
 9.545729307E-02 9.144000000E-01 2.986454648E-02
 9.545728267E-02 9.144000000E-01 2.986454574E-02
 9.157513373E-02 9.144000000E-01 2.956337620E-02
 9.157512383E-02 9.144000000E-01 2.956337543E-02
 8.787972525E-02 9.144000000E-01 2.925331781E-02
 8.787971583E-02 9.144000000E-01 2.925331702E-02
 8.787970606E-02 9.144000000E-01 2.925331614E-02
 8.404698609E-02 9.144000000E-01 2.890620840E-02
 8.021681171E-02 9.144000000E-01 2.853209613E-02
 8.021680194E-02 9.144000000E-01 2.853209518E-02
 7.638951909E-02 9.144000000E-01 2.812944907E-02
 7.638950933E-02 9.144000000E-01 2.812944804E-02
 7.256552820E-02 9.144000000E-01 2.769656776E-02
 7.256551845E-02 9.144000000E-01 2.769656666E-02
 6.874528480E-02 9.144000000E-01 2.723177676E-02
 6.874527506E-02 9.144000000E-01 2.723177558E-02
 6.492934488E-02 9.144000000E-01 2.673289299E-02
 6.492933515E-02 9.144000000E-01 2.673289172E-02
 6.111833974E-02 9.144000000E-01 2.619761727E-02
 6.111833003E-02 9.144000000E-01 2.619761590E-02
 5.731299453E-02 9.144000000E-01 2.562348332E-02
 5.731298483E-02 9.144000000E-01 2.562348186E-02
 5.351423142E-02 9.144000000E-01 2.500728992E-02
 5.351422174E-02 9.144000000E-01 2.500728835E-02
 4.972311848E-02 9.144000000E-01 2.434567237E-02
 4.972310882E-02 9.144000000E-01 2.434567069E-02
 4.594095113E-02 9.144000000E-01 2.363468440E-02
 4.594094149E-02 9.144000000E-01 2.363468259E-02
 4.216941749E-02 9.144000000E-01 2.286930367E-02
 4.216940787E-02 9.144000000E-01 2.286930172E-02
 3.841048195E-02 9.144000000E-01 2.204424147E-02
 3.841047237E-02 9.144000000E-01 2.204423937E-02
 3.466686960E-02 9.144000000E-01 2.115224947E-02
 3.466686006E-02 9.144000000E-01 2.115224720E-02
 3.094194304E-02 9.144000000E-01 2.018518658E-02
 3.094193354E-02 9.144000000E-01 2.018518411E-02
 2.724038697E-02 9.144000000E-01 1.913221270E-02
 2.724037754E-02 9.144000000E-01 1.913221002E-02
 2.356853820E-02 9.144000000E-01 1.797990331E-02
 2.356852884E-02 9.144000000E-01 1.797990038E-02
 1.993563254E-02 9.144000000E-01 1.671014457E-02
 1.993562328E-02 9.144000000E-01 1.671014133E-02
 1.635493213E-02 9.144000000E-01 1.529982000E-02
 1.635492300E-02 9.144000000E-01 1.529981640E-02
 1.284918425E-02 9.144000000E-01 1.371230444E-02
 1.284917531E-02 9.144000000E-01 1.371230040E-02
 9.453341537E-03 9.144000000E-01 1.190150062E-02
 9.453332880E-03 9.144000000E-01 1.190149601E-02
 4.687212101E-03 9.144000000E-01 1.186889292E-02
 4.687162230E-03 9.144000000E-01 1.186889063E-02
 4.153652166E-03 9.144000000E-01 1.220259049E-02
 -8.341133856E-03 9.144000000E-01 2.001780878E-02
 -8.341951291E-03 9.144000000E-01 2.001670427E-02
 -1.158104001E-02 9.144000000E-01 1.563789703E-02
 -1.158123450E-02 9.144000000E-01 1.563701435E-02
 -1.207129258E-02 9.144000000E-01 1.345386532E-02
 -1.280080937E-02 9.144000000E-01 1.020399168E-02
 -1.280108875E-02 9.144000000E-01 1.020266157E-02
 -1.200402332E-02 9.144000000E-01 4.798024835E-03
 -1.200400259E-02 9.144000000E-01 4.797879059E-03
 -9.071658918E-03 9.144000000E-01 -2.482148926E-06
 -9.071651509E-03 9.144000000E-01 -2.494416563E-06
 -8.901842072E-03 9.144000000E-01 -2.184058986E-04
 -6.336326202E-03 9.144000000E-01 -3.480449752E-03
 -6.336224634E-03 9.144000000E-01 -3.480549089E-03
 -5.566926731E-03 9.144000000E-01 -4.285571079E-03
 -3.875583265E-03 9.144000000E-01 -6.055465615E-03
 -3.875364400E-03 9.144000000E-01 -6.055683330E-03
 -2.538764536E-03 9.144000000E-01 -7.540267268E-03
 -1.671552325E-03 9.144000000E-01 -8.503495605E-03
 -1.671443444E-03 9.144000000E-01 -8.503652000E-03
 2.952705459E-04 9.144000000E-01 -1.135547091E-02
 2.953006964E-04 9.144000000E-01 -1.135552141E-02
 1.032117195E-03 9.144000000E-01 -1.259352724E-02
 2.475747141E-03 9.144000000E-01 -1.501912661E-02
 2.475806543E-03 9.144000000E-01 -1.501922566E-02
 5.295709141E-03 9.144000000E-01 -1.913987413E-02
 5.296085818E-03 9.144000000E-01 -1.914043041E-02
 6.866279051E-03 9.144000000E-01 -2.058809911E-02
 8.761785805E-03 9.144000000E-01 -2.233569788E-02
 8.762406128E-03 9.144000000E-01 -2.233605908E-02
 1.259911786E-02 9.144000000E-01 -2.457666587E-02
 1.260009417E-02 9.144000000E-01 -2.457705711E-02
 1.659935695E-02 9.144000000E-01 -2.618759413E-02
 1.660004524E-02 9.144000000E-01 -2.618779760E-02
 2.064932446E-02 9.144000000E-01 -2.738890775E-02
 2.065014903E-02 9.144000000E-01 -2.738908950E-02
 2.472683948E-02 9.144000000E-01 -2.826849747E-02
 2.472766006E-02 9.144000000E-01 -2.826787554E-02
 3.008926948E-02 9.144000000E-01 -2.415006237E-02
 3.008965922E-02 9.144000000E-01 -2.415006833E-02
 3.412901291E-02 9.144000000E-01 -2.428996375E-02
 3.412916460E-02 9.144000000E-01 -2.428997880E-02
 3.676718555E-02 9.144000000E-01 -2.455167444E-02
 3.806684522E-02 9.144000000E-01 -2.468060221E-02
 3.806691995E-02 9.144000000E-01 -2.468060966E-02
 4.198783146E-02 9.144000000E-01 -2.504226522E-02
 4.198787366E-02 9.144000000E-01 -2.504226914E-02
 4.589706546E-02 9.144000000E-01 -2.536849856E-02
 4.589710752E-02 9.144000000E-01 -2.536850210E-02
 4.980039054E-02 9.144000000E-01 -2.564966869E-02
 4.980040049E-02 9.144000000E-01 -2.564966944E-02
 5.369028208E-02 9.144000000E-01 -2.593133431E-02
 5.369029200E-02 9.144000000E-01 -2.593133502E-02
 5.757256383E-02 9.144000000E-01 -2.620121044E-02
 5.757257372E-02 9.144000000E-01 -2.620121114E-02
 6.144586767E-02 9.144000000E-01 -2.647716841E-02
 6.144587755E-02 9.144000000E-01 -2.647716908E-02
 6.530795387E-02 9.144000000E-01 -2.679307878E-02
 6.530796371E-02 9.144000000E-01 -2.679307958E-02
 6.914443827E-02 9.144000000E-01 -2.728192792E-02
 6.914444804E-02 9.144000000E-01 -2.728192919E-02
 7.298400882E-02 9.144000000E-01 -2.774548724E-02
 7.298401861E-02 9.144000000E-01 -2.774548842E-02
 7.682731388E-02 9.144000000E-01 -2.817700578E-02
 7.682732368E-02 9.144000000E-01 -2.817700688E-02
 8.067389275E-02 9.144000000E-01 -2.857822611E-02
 8.067390255E-02 9.144000000E-01 -2.857822713E-02
 8.452335499E-02 9.144000000E-01 -2.895082798E-02
 8.452336481E-02 9.144000000E-01 -2.895082893E-02
 8.837534989E-02 9.144000000E-01 -2.929631102E-02
 8.837535971E-02 9.144000000E-01 -2.929631190E-02
 9.217230100E-02 9.144000000E-01 -2.961136704E-02
 9.217231068E-02 9.144000000E-01 -2.961136784E-02
 9.217232085E-02 9.144000000E-01 -2.961136862E-02
 9.616115520E-02 9.144000000E-01 -2.991657349E-02
 9.616116588E-02 9.144000000E-01 -2.991657424E-02
 1.003514038E-01 9.144000000E-01 -3.021015282E-02
 1.003514150E-01 9.144000000E-01 -3.021015353E-02
 1.047530586E-01 9.144000000E-01 -3.049020394E-02
 1.047530704E-01 9.144000000E-01 -3.049020461E-02
 1.093765882E-01 9.144000000E-01 -3.075455334E-02
 1.093766005E-01 9.144000000E-01 -3.075455397E-02
 1.142329574E-01 9.144000000E-01 -3.100118141E-02
 1.142329704E-01 9.144000000E-01 -3.100118198E-02
 1.193337082E-01 9.144000000E-01 -3.122745493E-02
 1.193337218E-01 9.144000000E-01 -3.122745545E-02
 1.246908890E-01 9.144000000E-01 -3.143104510E-02
 1.246909034E-01 9.144000000E-01 -3.143104556E-02
 1.303171810E-01 9.144000000E-01 -3.160905422E-02
 1.303171960E-01 9.144000000E-01 -3.160905460E-02
 1.362258442E-01 9.144000000E-01 -3.175874947E-02
 1.362258600E-01 9.144000000E-01 -3.175874977E-02
 1.424308028E-01 9.144000000E-01 -3.187695948E-02
 1.424308194E-01 9.144000000E-01 -3.187695970E-02
 1.489466655E-01 9.144000000E-01 -3.196047811E-02
 1.489466830E-01 9.144000000E-01 -3.196047822E-02
 1.557887232E-01 9.144000000E-01 -3.200581249E-02
 1.557887416E-01 9.144000000E-01 -3.200581250E-02
 1.629730442E-01 9.144000000E-01 -3.200926603E-02
 1.629730634E-01 9.144000000E-01 -3.200926592E-02
 1.705164794E-01 9.144000000E-01 -3.196701644E-02
 1.705164996E-01 9.144000000E-01 -3.196701620E-02
 1.784366467E-01 9.144000000E-01 -3.187488160E-02
 1.784366677E-01 9.144000000E-01 -3.187488123E-02
 1.866684927E-01 9.144000000E-01 -3.173029275E-02
 1.866685137E-01 9.144000000E-01 -3.173029226E-02
 1.948993866E-01 9.144000000E-01 -3.153897860E-02
 1.948994076E-01 9.144000000E-01 -3.153897800E-02
 2.031291258E-01 9.144000000E-01 -3.130359355E-02
 2.031291467E-01 9.144000000E-01 -3.130359284E-02
 2.113575864E-01 9.144000000E-01 -3.102664081E-02
 2.113576074E-01 9.144000000E-01 -3.102664000E-02
 2.195846154E-01 9.144000000E-01 -3.071041653E-02
 2.195846364E-01 9.144000000E-01 -3.071041563E-02
 2.278101530E-01 9.144000000E-01 -3.035705723E-02
 2.278101740E-01 9.144000000E-01 -3.035705624E-02
 2.360340833E-01 9.144000000E-01 -2.996853531E-02
 2.360341043E-01 9.144000000E-01 -2.996853424E-02
 2.442563857E-01 9.144000000E-01 -2.954669326E-02
 2.442564066E-01 9.144000000E-01 -2.954669211E-02
 2.524769851E-01 9.144000000E-01 -2.909323547E-02
 2.524770061E-01 9.144000000E-01 -2.909323423E-02
 2.606959019E-01 9.144000000E-01 -2.860973269E-02
 2.606959228E-01 9.144000000E-01 -2.860973139E-02
 2.689130584E-01 9.144000000E-01 -2.809763931E-02
 2.689130793E-01 9.144000000E-01 -2.809763793E-02
 2.771284890E-01 9.144000000E-01 -2.755830102E-02
 2.771285099E-01 9.144000000E-01 -2.755829958E-02
 2.853421882E-01 9.144000000E-01 -2.699292068E-02
 2.853422091E-01 9.144000000E-01 -2.699291918E-02
 2.935541213E-01 9.144000000E-01 -2.640271068E-02
 2.935541422E-01 9.144000000E-01 -2.640270911E-02
 3.017643028E-01 9.144000000E-01 -2.578873428E-02
 3.017643237E-01 9.144000000E-01 -2.578873265E-02
 3.099727409E-01 9.144000000E-01 -2.515196185E-02
 3.099727618E-01 9.144000000E-01 -2.515196017E-02
 3.181794677E-01 9.144000000E-01 -2.449327995E-02
 3.181794886E-01 9.144000000E-01 -2.449327821E-02
 3.263844809E-01 9.144000000E-01 -2.381351028E-02
 3.263845018E-01 9.144000000E-01 -2.381350850E-02
 3.345877432E-01 9.144000000E-01 -2.311340234E-02
 3.345877642E-01 9.144000000E-01 -2.311340051E-02
 3.427893311E-01 9.144000000E-01 -2.239361925E-02
 3.427893520E-01 9.144000000E-01 -2.239361736E-02
 3.509892272E-01 9.144000000E-01 -2.165477090E-02
 3.509892481E-01 9.144000000E-01 -2.165476897E-02
 3.591874344E-01 9.144000000E-01 -2.089732390E-02
 3.591874553E-01 9.144000000E-01 -2.089732193E-02
 3.673839286E-01 9.144000000E-01 -2.012178782E-02
 3.673839494E-01 9.144000000E-01 -2.012178580E-02
 3.755787416E-01 9.144000000E-01 -1.932861975E-02
 3.755787625E-01 9.144000000E-01 -1.932861769E-02
 3.837718707E-01 9.144000000E-01 -1.851820454E-02
 3.837718916E-01 9.144000000E-01 -1.851820243E-02
 3.919632917E-01 9.144000000E-01 -1.769062603E-02
 3.919633126E-01 9.144000000E-01 -1.769062388E-02
 4.001530022E-01 9.144000000E-01 -1.684627649E-02
 4.001530231E-01 9.144000000E-01 -1.684627430E-02
 4.083409485E-01 9.144000000E-01 -1.598524185E-02
 4.083409693E-01 9.144000000E-01 -1.598523961E-02
 4.165271758E-01 9.144000000E-01 -1.510774299E-02
 4.165271967E-01 9.144000000E-01 -1.510774071E-02
 4.247115823E-01 9.144000000E-01 -1.421360405E-02
 4.247116032E-01 9.144000000E-01 -1.421360173E-02
 4.328941810E-01 9.144000000E-01 -1.330301086E-02
 4.328942019E-01 9.144000000E-01 -1.330300849E-02
 4.410749372E-01 9.144000000E-01 -1.237589487E-02
 4.410749580E-01 9.144000000E-01 -1.237589247E-02
 4.492537833E-01 9.144000000E-01 -1.143214505E-02
 4.492538041E-01 9.144000000E-01 -1.143214260E-02
 4.574306683E-01 9.144000000E-01 -1.047145874E-02
 4.574306892E-01 9.144000000E-01 -1.047145625E-02
 4.656055031E-01 9.144000000E-01 -9.493842183E-03
 4.656055240E-01 9.144000000E-01 -9.493839646E-03
 4.737782912E-01 9.144000000E-01 -8.498917958E-03
 4.737783120E-01 9.144000000E-01 -8.498915377E-03
 4.819488919E-01 9.144000000E-01 -7.486385937E-03
 4.819489128E-01 9.144000000E-01 -7.486383310E-03
 4.901172831E-01 9.144000000E-01 -6.455926524E-03
 4.901173039E-01 9.144000000E-01 -6.455923850E-03
 4.982833190E-01 9.144000000E-01 -5.407165265E-03
 4.982833398E-01 9.144000000E-01 -5.407162543E-03
 5.064469262E-01 9.144000000E-01 -4.339479915E-03
 5.064469470E-01 9.144000000E-01 -4.339477144E-03
 5.146079691E-01 9.144000000E-01 -3.252640951E-03
 5.146079882E-01 9.144000000E-01 -3.252638361E-03
 5.221034440E-01 9.144000000E-01 -2.236569879E-03
 5.221034559E-01 9.144000000E-01 -2.236568238E-03
 5.267868852E-01 9.144000000E-01 -1.592899881E-03
 5.267868927E-01 9.144000000E-01 -1.592898847E-03
 5.297135725E-01 9.144000000E-01 -1.187074542E-03
 5.297135771E-01 9.144000000E-01 -1.187073892E-03
 5.315425607E-01 9.144000000E-01 -9.320868292E-04
 5.315425636E-01 9.144000000E-01 -9.320864215E-04
 5.326856339E-01 9.144000000E-01 -7.721909324E-04
 5.326856357E-01 9.144000000E-01 -7.721906772E-04
 5.333999978E-01 9.144000000E-01 -6.720830596E-04
